"item","customer","week_end_date","units","sales","inventory_units","inventory_value"
"19150","LF",2012-02-18,4,94.87,8,189.74
"19150","LF",2012-02-25,2,44.17,5,110.425
"19150","LF",2012-03-03,12,270.9,33,744.975
"19150","LF",2012-03-10,6,149.94,21,524.79
"19150","LF",2012-03-17,3,73.97,5,123.283333333333
"19150","LF",2012-03-24,6,149.94,8,199.92
"19150","LF",2012-03-31,4,93.71,14,327.985
"19150","LF",2012-04-07,3,74.97,5,124.95
"19150","LF",2012-04-14,2,49.98,9,224.91
"19150","LF",2012-04-21,4,93.71,16,374.84
"19150","LF",2012-04-28,3,74.97,6,149.94
"19150","LF",2012-05-05,8,199.92,20,499.8
"19150","LF",2012-05-12,6,143.69,21,502.915
"19150","LF",2012-05-19,10,239.9,18,431.82
"19150","LF",2012-05-26,9,213.66,35,830.9
"19150","LF",2012-06-02,2,41.98,6,125.94
